category,subcategory,language_id,image,question,question_type,optiona,optionb,optionc,optiond,optione,answer,level,note
48,104,85,,FIDE is the international federation of which sports/game?,1,Football,Chess,Basketball,Hockey ,Cricket,b,1,
48,104,85,,“Nuclear football”, which was making news recently, is associated with which country?,1,Russia,China,USA,Australia,West Indies,c,1,
48,104,85,https://quizdemo.wrteam.in/images/questions/1628051500.2252.png,What is the name of this pastry, which is typically made of a layered yeast-leavened dough with butter?,1,Macarons,Croissants,Danishes,weate,,b,1,
48,104,85,https://quizdemo.wrteam.in/images/questions/1628051511.6778.png,What is the name of this coffee shop brand?,1,Tchibo,Starbucks,Stumptown Coffee Roasters,Queen,,b,1,
48,104,85,,What does the Venus of Brassempouy represent?,1,a woman’s head,an angel,a human figure,an old man,,a,1,
48,104,85,,To which artistic movement does Paul Gauguin’s The Yellow Christ belong?,1,Impressionism,Bauhaus,Cloisonnism,Fauvism,,c,1,
48,104,85,,Early photographers made their images on which of these materials?,1,Glass,Stone,Paper,Plastic,,a,1,
48,104,85,,Which of these is a paint made from pigments and plastic?,1, Acrylic,Gesso,Acetone,Tempera,,a,1,
48,105,85,,The biographical memoir of A. O. Hume was written by __?,1,Sir William Wedderburn,Lord Dufferin,J. Charles,None of the above,,a,6,
48,105,85,,Which one is the longest film to be shown in a cinema?,1,Grandmother Martha,The Cure for Insomnia,The Clock,Heimat: A Chronicle of Germany,,b,6,
48,105,85,,FIDE is the international federation of which sports/game?,1,Football,Chess,Basketball,Hockey ,Cricket,b,6,
48,105,85,,“Nuclear football”, which was making news recently, is associated with which country?,1,Russia,China,USA,Australia,West Indies,c,6,
48,105,85,https://quizdemo.wrteam.in/images/questions/1628051540.1355.png,What is the name of this pastry, which is typically made of a layered yeast-leavened dough with butter?,1,Macarons,Croissants,Danishes,weate,,b,6,
48,105,85,https://quizdemo.wrteam.in/images/questions/1628051550.3076.png,What is the name of this coffee shop brand?,1,Tchibo,Starbucks,Stumptown Coffee Roasters,Queen,,b,6,
48,105,85,,What does the Venus of Brassempouy represent?,1,a woman’s head,an angel,a human figure,an old man,,a,6,
48,105,85,,To which artistic movement does Paul Gauguin’s The Yellow Christ belong?,1,Impressionism,Bauhaus,Cloisonnism,Fauvism,,c,6,
48,105,85,,Early photographers made their images on which of these materials?,1,Glass,Stone,Paper,Plastic,,a,6,
48,105,85,,Which of these is a paint made from pigments and plastic?,1, Acrylic,Gesso,Acetone,Tempera,,a,6,
48,105,85,,The biographical memoir of A. O. Hume was written by __?,1,Sir William Wedderburn,Lord Dufferin,J. Charles,None of the above,,a,5,
48,105,85,,Which one is the longest film to be shown in a cinema?,1,Grandmother Martha,The Cure for Insomnia,The Clock,Heimat: A Chronicle of Germany,,b,5,
48,105,85,,FIDE is the international federation of which sports/game?,1,Football,Chess,Basketball,Hockey ,Cricket,b,5,
48,105,85,,“Nuclear football”, which was making news recently, is associated with which country?,1,Russia,China,USA,Australia,West Indies,c,5,
48,105,85,https://quizdemo.wrteam.in/images/questions/1628051580.6257.png,What is the name of this pastry, which is typically made of a layered yeast-leavened dough with butter?,1,Macarons,Croissants,Danishes,weate,,b,5,
48,105,85,https://quizdemo.wrteam.in/images/questions/1628051590.034.png,What is the name of this coffee shop brand?,1,Tchibo,Starbucks,Stumptown Coffee Roasters,Queen,,b,5,
48,105,85,,What does the Venus of Brassempouy represent?,1,a woman’s head,an angel,a human figure,an old man,,a,5,
48,105,85,,To which artistic movement does Paul Gauguin’s The Yellow Christ belong?,1,Impressionism,Bauhaus,Cloisonnism,Fauvism,,c,5,
48,105,85,,Early photographers made their images on which of these materials?,1,Glass,Stone,Paper,Plastic,,a,5,
48,105,85,,Which of these is a paint made from pigments and plastic?,1, Acrylic,Gesso,Acetone,Tempera,,a,5,
48,105,85,,The biographical memoir of A. O. Hume was written by __?,1,Sir William Wedderburn,Lord Dufferin,J. Charles,None of the above,,a,4,
48,105,85,,Which one is the longest film to be shown in a cinema?,1,Grandmother Martha,The Cure for Insomnia,The Clock,Heimat: A Chronicle of Germany,,b,4,
48,105,85,,FIDE is the international federation of which sports/game?,1,Football,Chess,Basketball,Hockey ,Cricket,b,4,
48,105,85,,“Nuclear football”, which was making news recently, is associated with which country?,1,Russia,China,USA,Australia,West Indies,c,4,
48,105,85,https://quizdemo.wrteam.in/images/questions/1628051604.8865.png,What is the name of this pastry, which is typically made of a layered yeast-leavened dough with butter?,1,Macarons,Croissants,Danishes,weate,,b,4,
48,105,85,https://quizdemo.wrteam.in/images/questions/1628051617.4466.png,What is the name of this coffee shop brand?,1,Tchibo,Starbucks,Stumptown Coffee Roasters,Queen,,b,4,
48,105,85,,What does the Venus of Brassempouy represent?,1,a woman’s head,an angel,a human figure,an old man,,a,4,
48,105,85,,To which artistic movement does Paul Gauguin’s The Yellow Christ belong?,1,Impressionism,Bauhaus,Cloisonnism,Fauvism,,c,4,
48,105,85,,Early photographers made their images on which of these materials?,1,Glass,Stone,Paper,Plastic,,a,4,
48,105,85,,Which of these is a paint made from pigments and plastic?,1, Acrylic,Gesso,Acetone,Tempera,,a,4,
48,105,85,,The biographical memoir of A. O. Hume was written by __?,1,Sir William Wedderburn,Lord Dufferin,J. Charles,None of the above,,a,3,
48,105,85,,Which one is the longest film to be shown in a cinema?,1,Grandmother Martha,The Cure for Insomnia,The Clock,Heimat: A Chronicle of Germany,,b,3,
48,105,85,,FIDE is the international federation of which sports/game?,1,Football,Chess,Basketball,Hockey ,Cricket,b,3,
48,105,85,,“Nuclear football”, which was making news recently, is associated with which country?,1,Russia,China,USA,Australia,West Indies,c,3,
48,105,85,https://quizdemo.wrteam.in/images/questions/1628051883.5707.png,What is the name of this pastry, which is typically made of a layered yeast-leavened dough with butter?,1,Macarons,Croissants,Danishes,weate,,b,3,
48,105,85,https://quizdemo.wrteam.in/images/questions/1628051897.3139.png,What is the name of this coffee shop brand?,1,Tchibo,Starbucks,Stumptown Coffee Roasters,Queen,,b,3,
48,105,85,,What does the Venus of Brassempouy represent?,1,a woman’s head,an angel,a human figure,an old man,,a,3,
48,105,85,,To which artistic movement does Paul Gauguin’s The Yellow Christ belong?,1,Impressionism,Bauhaus,Cloisonnism,Fauvism,,c,3,
48,105,85,,Early photographers made their images on which of these materials?,1,Glass,Stone,Paper,Plastic,,a,3,
48,105,85,,Which of these is a paint made from pigments and plastic?,1, Acrylic,Gesso,Acetone,Tempera,,a,3,
48,105,85,,The biographical memoir of A. O. Hume was written by __?,1,Sir William Wedderburn,Lord Dufferin,J. Charles,None of the above,,a,2,
48,105,85,,Which one is the longest film to be shown in a cinema?,1,Grandmother Martha,The Cure for Insomnia,The Clock,Heimat: A Chronicle of Germany,,b,2,
48,105,85,,FIDE is the international federation of which sports/game?,1,Football,Chess,Basketball,Hockey ,Cricket,b,2,
48,105,85,,“Nuclear football”, which was making news recently, is associated with which country?,1,Russia,China,USA,Australia,West Indies,c,2,
48,105,85,https://quizdemo.wrteam.in/images/questions/1628052667.6719.png,What is the name of this pastry, which is typically made of a layered yeast-leavened dough with butter?,1,Macarons,Croissants,Danishes,weate,,b,2,
48,105,85,https://quizdemo.wrteam.in/images/questions/1628052677.3314.png,What is the name of this coffee shop brand?,1,Tchibo,Starbucks,Stumptown Coffee Roasters,Queen,,b,2,
48,105,85,,What does the Venus of Brassempouy represent?,1,a woman’s head,an angel,a human figure,an old man,,a,2,
48,105,85,,To which artistic movement does Paul Gauguin’s The Yellow Christ belong?,1,Impressionism,Bauhaus,Cloisonnism,Fauvism,,c,2,
48,105,85,,Early photographers made their images on which of these materials?,1,Glass,Stone,Paper,Plastic,,a,2,
48,105,85,,Which of these is a paint made from pigments and plastic?,1, Acrylic,Gesso,Acetone,Tempera,,a,2,
48,105,85,,The biographical memoir of A. O. Hume was written by __?,1,Sir William Wedderburn,Lord Dufferin,J. Charles,None of the above,,a,1,
48,105,85,,Which one is the longest film to be shown in a cinema?,1,Grandmother Martha,The Cure for Insomnia,The Clock,Heimat: A Chronicle of Germany,,b,1,
48,105,85,,FIDE is the international federation of which sports/game?,1,Football,Chess,Basketball,Hockey ,Cricket,b,1,
48,105,85,,“Nuclear football”, which was making news recently, is associated with which country?,1,Russia,China,USA,Australia,West Indies,c,1,
48,105,85,https://quizdemo.wrteam.in/images/questions/1628052691.1561.png,What is the name of this pastry, which is typically made of a layered yeast-leavened dough with butter?,1,Macarons,Croissants,Danishes,weate,,b,1,
48,105,85,https://quizdemo.wrteam.in/images/questions/1628052703.562.png,What is the name of this coffee shop brand?,1,Tchibo,Starbucks,Stumptown Coffee Roasters,Queen,,b,1,
48,105,85,,What does the Venus of Brassempouy represent?,1,a woman’s head,an angel,a human figure,an old man,,a,1,
48,105,85,,To which artistic movement does Paul Gauguin’s The Yellow Christ belong?,1,Impressionism,Bauhaus,Cloisonnism,Fauvism,,c,1,
48,105,85,,Early photographers made their images on which of these materials?,1,Glass,Stone,Paper,Plastic,,a,1,
48,105,85,,Which of these is a paint made from pigments and plastic?,1, Acrylic,Gesso,Acetone,Tempera,,a,1,
48,103,85,,The biographical memoir of A. O. Hume was written by __?,1,Sir William Wedderburn,Lord Dufferin,J. Charles,None of the above,,a,6,
48,103,85,,Which one is the longest film to be shown in a cinema?,1,Grandmother Martha,The Cure for Insomnia,The Clock,Heimat: A Chronicle of Germany,,b,6,
48,103,85,,FIDE is the international federation of which sports/game?,1,Football,Chess,Basketball,Hockey ,Cricket,b,6,
48,103,85,,“Nuclear football”, which was making news recently, is associated with which country?,1,Russia,China,USA,Australia,West Indies,c,6,
48,103,85,,What is the name of this pastry, which is typically made of a layered yeast-leavened dough with butter?,1,Macarons,Croissants,Danishes,weate,,b,6,
48,103,85,,What is the name of this coffee shop brand?,1,Tchibo,Starbucks,Stumptown Coffee Roasters,Queen,,b,6,
48,103,85,,What does the Venus of Brassempouy represent?,1,a woman’s head,an angel,a human figure,an old man,,a,6,
48,103,85,,To which artistic movement does Paul Gauguin’s The Yellow Christ belong?,1,Impressionism,Bauhaus,Cloisonnism,Fauvism,,c,6,
48,103,85,,Early photographers made their images on which of these materials?,1,Glass,Stone,Paper,Plastic,,a,6,
48,103,85,,Which of these is a paint made from pigments and plastic?,1, Acrylic,Gesso,Acetone,Tempera,,a,6,
48,103,85,,The biographical memoir of A. O. Hume was written by __?,1,Sir William Wedderburn,Lord Dufferin,J. Charles,None of the above,,a,5,
48,103,85,,Which one is the longest film to be shown in a cinema?,1,Grandmother Martha,The Cure for Insomnia,The Clock,Heimat: A Chronicle of Germany,,b,5,
48,103,85,,FIDE is the international federation of which sports/game?,1,Football,Chess,Basketball,Hockey ,Cricket,b,5,
48,103,85,,“Nuclear football”, which was making news recently, is associated with which country?,1,Russia,China,USA,Australia,West Indies,c,5,
48,103,85,,What is the name of this pastry, which is typically made of a layered yeast-leavened dough with butter?,1,Macarons,Croissants,Danishes,weate,,b,5,
48,103,85,,What is the name of this coffee shop brand?,1,Tchibo,Starbucks,Stumptown Coffee Roasters,Queen,,b,5,
48,103,85,,What does the Venus of Brassempouy represent?,1,a woman’s head,an angel,a human figure,an old man,,a,5,
48,103,85,,To which artistic movement does Paul Gauguin’s The Yellow Christ belong?,1,Impressionism,Bauhaus,Cloisonnism,Fauvism,,c,5,
48,103,85,,Early photographers made their images on which of these materials?,1,Glass,Stone,Paper,Plastic,,a,5,
48,103,85,,Which of these is a paint made from pigments and plastic?,1, Acrylic,Gesso,Acetone,Tempera,,a,5,
48,103,85,,The biographical memoir of A. O. Hume was written by __?,1,Sir William Wedderburn,Lord Dufferin,J. Charles,None of the above,,a,4,
48,103,85,,Which one is the longest film to be shown in a cinema?,1,Grandmother Martha,The Cure for Insomnia,The Clock,Heimat: A Chronicle of Germany,,b,4,
48,103,85,,FIDE is the international federation of which sports/game?,1,Football,Chess,Basketball,Hockey ,Cricket,b,4,
48,103,85,,“Nuclear football”, which was making news recently, is associated with which country?,1,Russia,China,USA,Australia,West Indies,c,4,
48,103,85,,What is the name of this pastry, which is typically made of a layered yeast-leavened dough with butter?,1,Macarons,Croissants,Danishes,weate,,b,4,
48,103,85,,What is the name of this coffee shop brand?,1,Tchibo,Starbucks,Stumptown Coffee Roasters,Queen,,b,4,
48,103,85,,What does the Venus of Brassempouy represent?,1,a woman’s head,an angel,a human figure,an old man,,a,4,
48,103,85,,To which artistic movement does Paul Gauguin’s The Yellow Christ belong?,1,Impressionism,Bauhaus,Cloisonnism,Fauvism,,c,4,
48,103,85,,Early photographers made their images on which of these materials?,1,Glass,Stone,Paper,Plastic,,a,4,
48,103,85,,Which of these is a paint made from pigments and plastic?,1, Acrylic,Gesso,Acetone,Tempera,,a,4,
48,103,85,,The biographical memoir of A. O. Hume was written by __?,1,Sir William Wedderburn,Lord Dufferin,J. Charles,None of the above,,a,3,
48,103,85,,Which one is the longest film to be shown in a cinema?,1,Grandmother Martha,The Cure for Insomnia,The Clock,Heimat: A Chronicle of Germany,,b,3,
48,103,85,,FIDE is the international federation of which sports/game?,1,Football,Chess,Basketball,Hockey ,Cricket,b,3,
48,103,85,,“Nuclear football”, which was making news recently, is associated with which country?,1,Russia,China,USA,Australia,West Indies,c,3,
48,103,85,,What is the name of this pastry, which is typically made of a layered yeast-leavened dough with butter?,1,Macarons,Croissants,Danishes,weate,,b,3,
48,103,85,,What is the name of this coffee shop brand?,1,Tchibo,Starbucks,Stumptown Coffee Roasters,Queen,,b,3,
48,103,85,,What does the Venus of Brassempouy represent?,1,a woman’s head,an angel,a human figure,an old man,,a,3,
48,103,85,,To which artistic movement does Paul Gauguin’s The Yellow Christ belong?,1,Impressionism,Bauhaus,Cloisonnism,Fauvism,,c,3,
48,103,85,,Early photographers made their images on which of these materials?,1,Glass,Stone,Paper,Plastic,,a,3,
48,103,85,,Which of these is a paint made from pigments and plastic?,1, Acrylic,Gesso,Acetone,Tempera,,a,3,
48,103,85,,The biographical memoir of A. O. Hume was written by __?,1,Sir William Wedderburn,Lord Dufferin,J. Charles,None of the above,,a,2,
48,103,85,,Which one is the longest film to be shown in a cinema?,1,Grandmother Martha,The Cure for Insomnia,The Clock,Heimat: A Chronicle of Germany,,b,2,
48,103,85,,FIDE is the international federation of which sports/game?,1,Football,Chess,Basketball,Hockey ,Cricket,b,2,
48,103,85,,“Nuclear football”, which was making news recently, is associated with which country?,1,Russia,China,USA,Australia,West Indies,c,2,
48,103,85,,What is the name of this pastry, which is typically made of a layered yeast-leavened dough with butter?,1,Macarons,Croissants,Danishes,weate,,b,2,
48,103,85,,What is the name of this coffee shop brand?,1,Tchibo,Starbucks,Stumptown Coffee Roasters,Queen,,b,2,
48,103,85,,What does the Venus of Brassempouy represent?,1,a woman’s head,an angel,a human figure,an old man,,a,2,
48,103,85,,To which artistic movement does Paul Gauguin’s The Yellow Christ belong?,1,Impressionism,Bauhaus,Cloisonnism,Fauvism,,c,2,
48,103,85,,Early photographers made their images on which of these materials?,1,Glass,Stone,Paper,Plastic,,a,2,
48,103,85,,Which of these is a paint made from pigments and plastic?,1, Acrylic,Gesso,Acetone,Tempera,,a,2,
48,103,85,,The biographical memoir of A. O. Hume was written by __?,1,Sir William Wedderburn,Lord Dufferin,J. Charles,None of the above,,a,1,
48,103,85,,Which one is the longest film to be shown in a cinema?,1,Grandmother Martha,The Cure for Insomnia,The Clock,Heimat: A Chronicle of Germany,,b,1,
48,103,85,,FIDE is the international federation of which sports/game?,1,Football,Chess,Basketball,Hockey ,Cricket,b,1,
48,103,85,,“Nuclear football”, which was making news recently, is associated with which country?,1,Russia,China,USA,Australia,West Indies,c,1,
48,103,85,,What is the name of this pastry, which is typically made of a layered yeast-leavened dough with butter?,1,Macarons,Croissants,Danishes,weate,,b,1,
48,103,85,,What is the name of this coffee shop brand?,1,Tchibo,Starbucks,Stumptown Coffee Roasters,Queen,,b,1,
48,103,85,,What does the Venus of Brassempouy represent?,1,a woman’s head,an angel,a human figure,an old man,,a,1,
48,103,85,,To which artistic movement does Paul Gauguin’s The Yellow Christ belong?,1,Impressionism,Bauhaus,Cloisonnism,Fauvism,,c,1,
48,103,85,,Early photographers made their images on which of these materials?,1,Glass,Stone,Paper,Plastic,,a,1,
48,103,85,,Which of these is a paint made from pigments and plastic?,1, Acrylic,Gesso,Acetone,Tempera,,a,1,
48,102,85,,The biographical memoir of A. O. Hume was written by __?,1,Sir William Wedderburn,Lord Dufferin,J. Charles,None of the above,,a,6,
48,102,85,,Which one is the longest film to be shown in a cinema?,1,Grandmother Martha,The Cure for Insomnia,The Clock,Heimat: A Chronicle of Germany,,b,6,
48,102,85,,FIDE is the international federation of which sports/game?,1,Football,Chess,Basketball,Hockey ,Cricket,b,6,
48,102,85,,“Nuclear football”, which was making news recently, is associated with which country?,1,Russia,China,USA,Australia,West Indies,c,6,
48,102,85,https://quizdemo.wrteam.in/images/questions/1628051276.447.png,What is the name of this pastry, which is typically made of a layered yeast-leavened dough with butter?,1,Macarons,Croissants,Danishes,weate,,b,6,
48,102,85,https://quizdemo.wrteam.in/images/questions/1628051287.0624.png,What is the name of this coffee shop brand?,1,Tchibo,Starbucks,Stumptown Coffee Roasters,Queen,,b,6,
48,102,85,,What does the Venus of Brassempouy represent?,1,a woman’s head,an angel,a human figure,an old man,,a,6,
48,102,85,,To which artistic movement does Paul Gauguin’s The Yellow Christ belong?,1,Impressionism,Bauhaus,Cloisonnism,Fauvism,,c,6,
48,102,85,,Early photographers made their images on which of these materials?,1,Glass,Stone,Paper,Plastic,,a,6,
48,102,85,,Which of these is a paint made from pigments and plastic?,1, Acrylic,Gesso,Acetone,Tempera,,a,6,
48,102,85,,The biographical memoir of A. O. Hume was written by __?,1,Sir William Wedderburn,Lord Dufferin,J. Charles,None of the above,,a,5,
48,102,85,,Which one is the longest film to be shown in a cinema?,1,Grandmother Martha,The Cure for Insomnia,The Clock,Heimat: A Chronicle of Germany,,b,5,
48,102,85,,FIDE is the international federation of which sports/game?,1,Football,Chess,Basketball,Hockey ,Cricket,b,5,
48,102,85,,“Nuclear football”, which was making news recently, is associated with which country?,1,Russia,China,USA,Australia,West Indies,c,5,
48,102,85,https://quizdemo.wrteam.in/images/questions/1628051250.1328.png,What is the name of this pastry, which is typically made of a layered yeast-leavened dough with butter?,1,Macarons,Croissants,Danishes,weate,,b,5,
48,102,85,https://quizdemo.wrteam.in/images/questions/1628051261.8317.png,What is the name of this coffee shop brand?,1,Tchibo,Starbucks,Stumptown Coffee Roasters,Queen,,b,5,
48,102,85,,What does the Venus of Brassempouy represent?,1,a woman’s head,an angel,a human figure,an old man,,a,5,
48,102,85,,To which artistic movement does Paul Gauguin’s The Yellow Christ belong?,1,Impressionism,Bauhaus,Cloisonnism,Fauvism,,c,5,
48,102,85,,Early photographers made their images on which of these materials?,1,Glass,Stone,Paper,Plastic,,a,5,
48,102,85,,Which of these is a paint made from pigments and plastic?,1, Acrylic,Gesso,Acetone,Tempera,,a,5,
48,102,85,,The biographical memoir of A. O. Hume was written by __?,1,Sir William Wedderburn,Lord Dufferin,J. Charles,None of the above,,a,4,
48,102,85,,Which one is the longest film to be shown in a cinema?,1,Grandmother Martha,The Cure for Insomnia,The Clock,Heimat: A Chronicle of Germany,,b,4,
48,102,85,,FIDE is the international federation of which sports/game?,1,Football,Chess,Basketball,Hockey ,Cricket,b,4,
48,102,85,,“Nuclear football”, which was making news recently, is associated with which country?,1,Russia,China,USA,Australia,West Indies,c,4,
48,102,85,https://quizdemo.wrteam.in/images/questions/1628051209.9933.png,What is the name of this pastry, which is typically made of a layered yeast-leavened dough with butter?,1,Macarons,Croissants,Danishes,weate,,b,4,
48,102,85,https://quizdemo.wrteam.in/images/questions/1628051227.0936.png,What is the name of this coffee shop brand?,1,Tchibo,Starbucks,Stumptown Coffee Roasters,Queen,,b,4,
48,102,85,,What does the Venus of Brassempouy represent?,1,a woman’s head,an angel,a human figure,an old man,,a,4,
48,102,85,,To which artistic movement does Paul Gauguin’s The Yellow Christ belong?,1,Impressionism,Bauhaus,Cloisonnism,Fauvism,,c,4,
48,102,85,,Early photographers made their images on which of these materials?,1,Glass,Stone,Paper,Plastic,,a,4,
48,102,85,,Which of these is a paint made from pigments and plastic?,1, Acrylic,Gesso,Acetone,Tempera,,a,4,
48,102,85,,The biographical memoir of A. O. Hume was written by __?,1,Sir William Wedderburn,Lord Dufferin,J. Charles,None of the above,,a,3,
48,102,85,,Which one is the longest film to be shown in a cinema?,1,Grandmother Martha,The Cure for Insomnia,The Clock,Heimat: A Chronicle of Germany,,b,3,
48,102,85,,FIDE is the international federation of which sports/game?,1,Football,Chess,Basketball,Hockey ,Cricket,b,3,
48,102,85,,“Nuclear football”, which was making news recently, is associated with which country?,1,Russia,China,USA,Australia,West Indies,c,3,
